,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
11470,201310.0,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,5667.0
11471,201310.0,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,6552.0
11472,201310.0,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,9047.0
11473,201310.0,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,8830.0
11474,201310.0,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,21112.0
11475,201310.0,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,20605.0
11476,201310.0,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,7718.0
11477,201310.0,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7605.0
11478,201310.0,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,13977.0
11479,201310.0,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,13614.0
11480,201310.0,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,7267.0
11481,201310.0,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,10656.0
11482,201310.0,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,10896.0
11483,201310.0,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,11166.0
11484,201310.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,732.0
11485,201310.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,4107.0
11486,201310.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,40497.0
11487,201310.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,37366.0
11488,201310.0,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,5603.0
11489,201310.0,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 1,B,5764.0
11490,201310.0,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,5998.0
11491,201310.0,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6328.0
11492,201310.0,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,131190.0
11493,201310.0,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,132002.0
11494,201310.0,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,5764.0
11495,201310.0,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,6648.0
11496,201310.0,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,18665.0
11497,201310.0,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,19067.0
11498,201310.0,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,15690.0
11499,201310.0,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,19327.0
11500,201310.0,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,7176.0
11501,201310.0,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,9330.0
11502,201310.0,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,4895.0
11503,201310.0,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Other,International,A,5296.0
11504,201310.0,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,27056.0
11505,201310.0,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,28955.0
11506,201310.0,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,121336.0
11507,201310.0,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,122958.0
11508,201310.0,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Deplaned,Other,International,A,3982.0
11509,201310.0,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Enplaned,Other,International,A,4365.0
11510,201310.0,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,11916.0
11511,201310.0,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,13625.0
11512,201310.0,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,8513.0
11513,201310.0,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,10042.0
11514,201310.0,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,C,19265.0
11515,201310.0,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,C,19098.0
11516,201310.0,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,8230.0
11517,201310.0,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,8466.0
11518,201310.0,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,4714.0
11519,201310.0,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,5291.0
11520,201310.0,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,4880.0
11521,201310.0,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,4616.0
11522,201310.0,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,46311.0
11523,201310.0,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,A,46468.0
11524,201310.0,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,10862.0
11525,201310.0,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,10378.0
11526,201310.0,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,6221.0
11527,201310.0,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,6663.0
11528,201310.0,LAN Peru,LP,LAN Peru,LP,International,South America,Deplaned,Other,International,A,2399.0
11529,201310.0,LAN Peru,LP,LAN Peru,LP,International,South America,Enplaned,Other,International,A,2902.0
11530,201310.0,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,23387.0
11531,201310.0,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,22429.0
11532,201310.0,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,8358.0
11533,201310.0,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,9524.0
11534,201310.0,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Enplaned,Other,Terminal 1,B,36.0
11535,201310.0,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,6232.0
11536,201310.0,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,5999.0
11537,201310.0,Servisair,,Servisair,,Domestic,US,Deplaned,Low Fare,International,A,75.0
11538,201310.0,Servisair,,Servisair,,Domestic,US,Enplaned,Low Fare,International,A,75.0
11539,201310.0,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,13183.0
11540,201310.0,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,16089.0
11541,201310.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 1,B,93418.0
11542,201310.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 1,B,90355.0
11543,201310.0,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,50.0
11544,201310.0,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,48.0
11545,201310.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,49494.0
11546,201310.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,50244.0
11547,201310.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,International,G,2402.0
11548,201310.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 1,B,1451.0
